# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
284916530,74,1,1001,3272,-3867,-35350
284921432,74,1,1001,3272,-3867,-35350
284924558,74,1,1001,516,-2616,-34230
284925091,54,-13,994,516,-2616,-34230
284933112,54,-13,994,-4138,-1592,-32830
284933646,46,-19,963,-4138,-1592,-32830
284941667,46,-19,963,-9406,-2266,-31342
284942200,40,-12,930,-9406,-2266,-31342
284950222,55,-37,908,-12346,-3963,-29916
284958767,71,-42,904,-13650,-6177,-27825
284967311,75,-21,919,-16983,-9493,-26127
284975857,89,-30,940,-21910,-13151,-24657
284984401,101,-41,962,-24517,-16572,-22645
284992737,101,-41,962,-24613,-19153,-20947
284993271,97,-23,1010,-24613,-19153,-20947
285001290,97,-23,1010,-23765,-19845,-20667
285001823,79,9,1075,-23765,-19845,-20667
285009844,79,9,1075,-20755,-17088,-22172
285010377,69,16,1141,-20755,-17088,-22172
285018399,69,16,1141,-16126,-11278,-22522
285018932,78,-29,1159,-16126,-11278,-22522
285022379,78,-29,1159,-16126,-11278,-22522
285026960,61,15,1177,-12083,-4742,-23257
285035504,51,20,1130,-11786,1767,-24718
285044048,76,-32,1057,-12530,5188,-25121
285052592,93,-66,970,-12958,5801,-22531
285060928,93,-66,970,-15776,2546,-19390
285061462,90,-49,920,-15776,2546,-19390
285069483,90,-49,920,-21262,2563,-16432
285070016,121,-51,985,-21262,2563,-16432
285078037,121,-51,985,-23415,201,-13195
285078570,44,-28,893,-23415,201,-13195
285086592,44,-28,893,-23537,-6431,-12635
285087125,39,26,913,-23537,-6431,-12635
285095145,50,27,936,-22776,-9800,-13212
285103689,50,41,925,-20685,-10920,-13186
285112234,30,70,902,-18751,-13938,-13842
285120778,13,76,910,-17211,-18453,-15540
285123501,13,76,910,-17211,-18453,-15540
285129330,30,54,945,-15557,-21551,-17465
285137875,43,32,973,-15260,-22470,-19075
285146212,43,32,973,-14857,-22872,-20256
285146745,70,-1,973,-14857,-22872,-20256
285154767,70,-1,973,-13308,-22977,-20370
285155300,106,-42,959,-13308,-22977,-20370
285163321,106,-42,959,-10771,-20011,-19083
285163854,112,-106,954,-10771,-20011,-19083
285171875,112,-106,954,-8846,-20930,-16528
285172408,75,-152,922,-8846,-20930,-16528
285180430,56,-143,958,-11427,-23835,-13886
285188975,35,-118,972,-18077,-25760,-12643
285197519,8,-99,1015,-23878,-28096,-12976
285206064,-15,-62,1134,-27300,-25803,-17841
285214608,113,-153,1171,-30800,-20125,-19941
285223152,150,-219,1131,-28507,-11567,-17010
285224420,150,-219,1131,-28507,-11567,-17010
285231496,150,-219,1131,-22531,-5906,-13370
285232029,141,-211,1075,-22531,-5906,-13370
285240051,141,-211,1075,-21437,-3718,-11628
285240584,145,-187,1045,-21437,-3718,-11628
285248604,145,-187,1045,-24876,-4051,-10456
285249137,164,-200,1015,-24876,-4051,-10456
285257158,164,-200,1015,-25042,-3220,-7061
285257691,215,-229,1017,-25042,-3220,-7061
285265711,173,-202,991,-20676,-1968,-3167
285274256,134,-135,1014,-14630,-3307,-1067
285282801,104,-75,1036,-7507,-1872,-2257
285291345,92,-56,1019,218,1155,-5311
285299890,103,-60,1002,8198,2948,-8076
285308435,108,-56,1008,12206,3115,-9922
285316980,99,-53,1022,12390,2633,-11392
285325316,99,-53,1022,9992,2231,-13308
285325850,88,-56,1059,9992,2231,-13308
285333869,88,-56,1059,5127,3185,-15076
285334403,88,-87,1087,5127,3185,-15076
285342422,88,-87,1087,1330,5722,-14708
285342956,105,-154,1078,1330,5722,-14708
285350976,105,-154,1078,-1855,8172,-12355
285351509,109,-172,1061,-1855,8172,-12355
285359530,109,-172,1061,-4637,9677,-9502
285360063,108,-170,1031,-4637,9677,-9502
285368083,105,-158,992,-6037,10465,-6685
285376627,128,-159,972,-6921,10605,-4156
285385171,94,-122,920,-2738,10342,-2161
285393716,64,-99,922,3342,6868,-3885
285402262,75,-103,939,9073,3876,-6676
285410807,79,-116,971,12398,1767,-8522
285419351,63,-130,1025,12451,-253,-9983
285426440,63,-130,1025,12451,-253,-9983
285427695,63,-130,1025,10272,78,-11392
285428228,65,-175,1076,10272,78,-11392
285436249,65,-175,1076,8260,2677,-10955
285436782,80,-225,1087,8260,2677,-10955
285444804,80,-225,1087,6370,5258,-9073
285445337,83,-243,1078,6370,5258,-9073
285453357,83,-243,1078,4261,6658,-6405
285453891,97,-250,1069,4261,6658,-6405
285461911,98,-233,1068,1251,8426,-3342
285470456,99,-233,1033,-1688,9992,-577
285479000,110,-248,1005,-3360,9905,2905
285487543,110,-223,1008,-6448,8750,6895
285496088,95,-168,1033,-12731,7988,9590
285504632,87,-128,1022,-20107,8443,10053
285513176,98,-129,975,-23021,8382,9983
285521721,101,-121,960,-19775,7227,10570
285527562,101,-121,960,-19775,7227,10570
285530065,101,-121,960,-14315,6667,9975
285530599,78,-97,989,-14315,6667,9975
285538620,78,-97,989,-8566,8610,7288
285539153,60,-94,1002,-8566,8610,7288
285547174,60,-94,1002,-4357,9625,4725
285547708,65,-114,967,-4357,9625,4725
285555728,65,-114,967,-1706,8986,3395
285556261,82,-155,944,-1706,8986,3395
285564282,91,-213,935,2003,7962,4112
285572826,95,-232,921,5836,7297,6282
285581371,99,-201,919,4733,5845,8916
285589915,91,-166,920,-2905,2826,11095
285598459,88,-147,945,-11795,-1032,12941
285607003,102,-159,968,-16992,-3018,14726
285615547,114,-160,978,-16572,-2983,17395
285624091,95,-124,974,-13221,-2248,18707
285628478,95,-124,974,-13221,-2248,18707
285632436,95,-124,974,-8522,-1837,17193
285632969,70,-97,968,-8522,-1837,17193
285640990,70,-97,968,-3298,-1793,13536
285641523,65,-100,958,-3298,-1793,13536
285649542,65,-100,958,4620,-2380,10517
285650075,86,-158,945,4620,-2380,10517
285658096,86,-158,945,13265,-2922,9905
285658629,107,-210,961,13265,-2922,9905
285666649,107,-210,961,18506,-2546,10465
285667182,111,-253,987,18506,-2546,10465
285675204,111,-289,1009,18523,-2485,12810
285683747,123,-297,1050,15251,-2406,17342
285692292,125,-280,1082,11935,-402,22347
285700837,115,-239,1090,9441,3596,26915
285709381,104,-190,1075,5775,7665,29925
285717925,96,-177,1029,875,10675,31552
285726470,104,-182,965,-2537,11348,32935
285729402,104,-182,965,-2537,11348,32935
