# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
252284381,51,-82,1002,9651,1811,4646
252292926,47,-62,1009,9380,1198,7113
252298559,47,-62,1009,9380,1198,7113
252301478,44,-26,1014,8233,691,8671
252310023,39,1,1011,5731,131,8802
252318567,44,11,1003,3351,-621,8216
252327111,50,19,993,1417,-1863,7385
252335656,49,23,989,113,-3736,6536
252343993,49,23,989,-761,-5792,5958
252344526,47,28,1001,-761,-5792,5958
252352546,47,28,1001,-1312,-7603,5573
252353080,41,23,1020,-1312,-7603,5573
252361099,41,23,1020,-1041,-8548,5600
252361632,38,11,1039,-1041,-8548,5600
252369653,38,11,1039,411,-8863,6352
252370186,40,5,1057,411,-8863,6352
252378207,40,5,1057,1688,-8627,7140
252378741,33,18,1081,1688,-8627,7140
252386762,26,30,1106,1111,-7665,7070
252395306,30,29,1114,122,-5950,6667
252399485,30,29,1114,122,-5950,6667
252403858,36,24,1101,271,-4217,6667
252412402,38,28,1089,1592,-3246,7087
252420946,38,37,1090,2773,-2800,7175
252429490,36,46,1097,2948,-2546,6842
252438035,32,45,1106,2572,-2073,5915
252446579,33,42,1111,1977,-1435,5320
252454915,33,42,1111,411,-647,4733
252455448,35,48,1110,411,-647,4733
252463467,35,48,1110,-1540,-393,3858
252464000,37,36,1098,-1540,-393,3858
252472020,37,36,1098,-2817,-962,3727
252472553,36,20,1093,-2817,-962,3727
252480573,36,20,1093,-3605,-1303,4130
252481106,39,11,1098,-3605,-1303,4130
252489127,39,11,1098,-4243,-1443,4821
252489660,40,1,1102,-4243,-1443,4821
252497679,38,-4,1107,-4121,-1540,5705
252500402,38,-4,1107,-4121,-1540,5705
252506232,39,2,1114,-4060,-1295,6615
252514776,38,8,1117,-4427,-717,6825
252523320,34,24,1121,-5748,105,6492
252531865,30,35,1116,-8312,708,5162
252540409,30,28,1108,-11077,831,3771
252548746,30,28,1108,-13212,490,3018
252549279,35,7,1110,-13212,490,3018
252557297,35,7,1110,-14962,393,3097
252557831,41,-19,1119,-14962,393,3097
252565851,41,-19,1119,-15793,656,4235
252566384,50,-53,1119,-15793,656,4235
252574405,50,-53,1119,-15338,761,6737
252574938,59,-69,1112,-15338,761,6737
252582957,59,-69,1112,-14140,122,9415
252583490,67,-71,1106,-14140,122,9415
252591510,69,-69,1112,-12853,-761,12110
252600055,63,-65,1124,-11733,-1531,14603
252601531,63,-65,1124,-11733,-1531,14603
252608607,54,-54,1140,-10386,-1828,16572
252617151,48,-32,1159,-9170,-1470,17815
252625695,39,2,1176,-8986,-411,17587
252634240,33,14,1169,-9633,1032,15907
252642785,36,21,1154,-7822,1793,14498
252651328,35,29,1159,-3613,2257,13247
252659666,35,29,1159,1802,3500,12171
252660199,40,20,1173,1802,3500,12171
252668220,40,20,1173,6982,5486,11287
252668753,41,26,1194,6982,5486,11287
252676774,41,26,1194,9598,8085,9703
252677307,37,27,1211,9598,8085,9703
252685327,37,27,1211,10823,10946,8723
252685861,36,-10,1211,10823,10946,8723
252693882,36,-10,1211,11786,13851,9397
252694415,39,-49,1200,11786,13851,9397
252702436,37,-75,1183,11410,16117,11086
252710981,38,-103,1144,10797,17351,13632
252719525,42,-108,1115,11383,17263,17176
252728069,37,-82,1098,11865,16353,20536
252736614,23,-11,1105,11803,14927,22312
252745158,5,72,1123,8277,14166,20973
252753702,-7,115,1124,1085,14183,16520
252762246,-7,103,1103,-5906,13483,11453
252770790,-8,79,1103,-8443,11970,8321
252779126,-8,79,1103,-6676,11620,6641
252779659,-9,61,1125,-6676,11620,6641
252787679,-9,61,1125,-2537,13772,5565
252788212,-9,45,1136,-2537,13772,5565
252796233,-9,45,1136,1933,16870,4873
252796767,-4,43,1131,1933,16870,4873
252803540,-4,43,1131,1933,16870,4873
252804795,-4,43,1131,5993,19276,4217
252805328,-6,39,1114,5993,19276,4217
252813349,-5,28,1093,10097,21323,4138
252821893,-7,30,1060,12810,23362,4042
252830438,-9,48,1000,12967,24193,3088
252838982,0,36,919,12976,22102,1995
252847526,8,21,864,15522,17167,2476
252856071,1,47,864,17823,11121,3053
252864615,-10,83,900,15960,6221,1715
252873159,-16,65,924,11287,2003,-542
252881496,-16,65,924,7875,-1872,-1067
252882029,-16,20,945,7875,-1872,-1067
252890050,-16,20,945,6116,-4707,280
252890584,-13,2,973,6116,-4707,280
252898605,-13,2,973,4628,-6133,1977
252899138,-25,13,1017,4628,-6133,1977
252904457,-25,13,1017,4628,-6133,1977
252907167,-25,13,1017,1251,-5705,1837
252907700,-38,43,1045,1251,-5705,1837
252915721,-38,43,1045,-4970,-4217,-358
252916254,-36,76,1047,-4970,-4217,-358
252924275,-33,78,1018,-11865,-3893,-3185
252932819,-24,58,1010,-15015,-5040,-4900
252941363,-1,30,1023,-15146,-5547,-5372
252949907,5,19,1049,-13020,-4725,-4821
252958452,6,17,1062,-11515,-2878,-4156
252966996,10,-1,1050,-10692,-936,-3298
252975540,10,-20,1029,-10456,411,-1522
252984084,9,-3,1018,-11506,568,551
252992629,0,27,1021,-13842,-96,1513
253000965,0,27,1021,-16240,-428,1723
253001498,-1,31,1031,-16240,-428,1723
253005361,-1,31,1031,-16240,-428,1723
253009527,-1,31,1031,-18130,26,1916
253010060,-11,33,1045,-18130,26,1916
253018080,-11,33,1045,-19757,1155,1933
253018613,-17,50,1053,-19757,1155,1933
253026633,-17,50,1053,-21367,2843,1286
