# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
147695775,43,181,1002,-70490,-2852,65607
147704319,-54,151,982,-60777,3718,56183
147712864,54,179,907,-37887,6352,46322
147721200,54,179,907,-14498,7805,36890
147721734,0,109,897,-14498,7805,36890
147729755,0,109,897,-2003,4497,31351
147730288,-32,72,955,-2003,4497,31351
147738307,-32,72,955,3683,2598,28997
147738840,-42,61,984,3683,2598,28997
147746859,-42,61,984,4138,-1260,27518
147747392,-12,77,996,4138,-1260,27518
147755411,-24,76,1044,1496,-3237,25628
147763539,-24,76,1044,1496,-3237,25628
147763963,-78,70,1049,-3517,-2187,25226
147772506,-123,103,961,-4961,-3123,27081
147781050,46,144,983,2546,533,18698
147789386,46,144,983,10867,4847,11235
147789919,121,-1,1084,10867,4847,11235
147797939,121,-1,1084,4952,12477,18112
147798472,119,-46,1107,4952,12477,18112
147806492,119,-46,1107,-4908,19705,26512
147807025,70,-87,1086,-4908,19705,26512
147815046,70,-87,1086,-14105,29146,34597
147815580,93,-81,1057,-14105,29146,34597
147823600,125,-82,1078,-20973,37607,42236
147832143,91,-76,1101,-32060,47197,49376
147840687,118,-61,1092,-41317,53287,54241
147849232,81,-66,1129,-50356,61582,60663
147857777,48,-52,1048,-56936,69448,67296
147864450,48,-52,1048,-56936,69448,67296
147866120,48,-52,1048,-58082,75206,72817
147866654,62,-55,967,-58082,75206,72817
147874672,62,-55,967,-54783,78190,77813
147875205,20,-42,873,-54783,78190,77813
147883226,20,-42,873,-50032,77043,82250
147883759,-30,-25,788,-50032,77043,82250
147891779,-30,-25,788,-43960,71627,84402
147892312,-79,13,695,-43960,71627,84402
147900332,-71,18,658,-36566,62063,85225
147908876,-99,43,627,-28752,50058,84376
147917421,-121,40,669,-22671,36338,82258
147925964,-145,34,699,-15146,25086,80010
147934508,-180,50,705,-5573,14507,76063
147943052,-166,52,715,4777,3745,72878
147951387,-166,52,715,15408,-8636,67891
147951920,-153,91,734,15408,-8636,67891
147959940,-153,91,734,23336,-19083,59745
147960473,-136,109,800,23336,-19083,59745
147965375,-136,109,800,23336,-19083,59745
147968501,-136,109,800,25795,-27273,52963
147969034,-117,88,868,25795,-27273,52963
147977053,-117,88,868,25506,-34046,47302
147977586,-105,65,906,25506,-34046,47302
147985607,-79,9,948,27518,-40075,42008
147994150,-74,-55,1005,29540,-44642,40363
148002694,-71,-99,1041,31526,-47398,41326
148011237,-54,-133,1079,33066,-49306,44660
148019781,-39,-124,1085,32515,-49166,48133
148028324,-2,-94,1080,32226,-48746,49297
148036659,-2,-94,1080,31088,-47110,48020
148037192,33,-74,1075,31088,-47110,48020
148045214,33,-74,1075,27755,-45605,48256
148045747,75,-59,1043,27755,-45605,48256
148053768,75,-59,1043,27116,-46060,46865
148054301,128,-73,1017,27116,-46060,46865
148062319,160,-108,1032,27098,-47118,48580
148066498,160,-108,1032,27098,-47118,48580
148070871,176,-118,1037,25593,-46515,54425
148079414,162,-82,1040,22181,-48133,60200
148087957,152,-69,1069,16826,-50067,64688
148096501,151,-57,1069,16712,-49315,70175
148105045,135,10,1085,19057,-46987,74103
148113382,135,10,1085,19486,-43916,74051
148113915,115,85,1122,19486,-43916,74051
148121935,115,85,1122,16677,-38990,71487
148122468,97,145,1152,16677,-38990,71487
148130487,97,145,1152,13063,-32532,66246
148131020,78,198,1165,13063,-32532,66246
148139040,78,198,1165,8916,-26110,58012
148139573,52,237,1170,8916,-26110,58012
148147593,36,248,1166,3937,-20518,47993
148156136,31,234,1150,-1408,-16222,38185
148164681,20,207,1146,-6186,-13160,29828
148167403,20,207,1146,-6186,-13160,29828
148173233,6,183,1146,-10255,-9808,22750
148181777,3,166,1140,-14402,-5836,15951
148190320,7,147,1135,-18637,-1627,9021
148198656,7,147,1135,-23563,3237,2747
148199189,12,116,1136,-23563,3237,2747
148207210,12,116,1136,-29715,8505,-2152
148207743,20,79,1135,-29715,8505,-2152
148215763,20,79,1135,-36295,13816,-5503
148216296,26,30,1132,-36295,13816,-5503
148224316,26,30,1132,-41300,19757,-6991
148224849,27,-27,1118,-41300,19757,-6991
148232869,27,-84,1099,-42218,26066,-6580
148241414,25,-130,1071,-40048,32252,-4095
148249958,27,-155,1040,-37222,37161,-323
148258501,39,-159,1003,-36120,40451,3220
148267045,57,-158,964,-36723,42061,6326
148268521,57,-158,964,-36723,42061,6326
148275390,57,-158,964,-37992,42796,9187
148275923,71,-150,928,-37992,42796,9187
148283941,71,-150,928,-38465,42595,11410
148284474,78,-143,892,-38465,42595,11410
148292494,78,-143,892,-35945,41273,12652
148293027,85,-146,875,-35945,41273,12652
148301048,85,-146,875,-30196,40241,13518
148301581,72,-152,871,-30196,40241,13518
148309600,38,-170,874,-22522,39497,15470
148318144,7,-175,865,-15741,37161,19635
148326688,-21,-160,855,-10552,31946,23948
148335231,-49,-141,850,-5950,25340,26748
148343775,-65,-128,831,-1032,17622,28017
148352318,-62,-117,829,4882,9056,28805
148360655,-62,-117,829,9266,-236,29522
148361188,-51,-100,843,9266,-236,29522
148369208,-51,-100,843,11392,-9380,29715
148369742,-49,-94,890,11392,-9380,29715
148377762,-49,-94,890,13343,-15365,30423
148378295,-40,-100,945,13343,-15365,30423
148386315,-40,-100,945,17141,-17823,31508
148386849,-36,-92,999,17141,-17823,31508
148394867,-41,-82,1041,20658,-17447,32506
148403411,-41,-77,1064,22855,-15680,32830
148411954,-50,-70,1067,25742,-12932,33022
148420498,-52,-47,1062,29303,-10141,32655
148429042,-37,-30,1063,29645,-8697,29925
148437586,-10,-31,1063,29181,-7568,27160
148446129,18,-6,1061,29461,-6212,25830
148454673,56,10,1062,26985,-6203,22653
148463008,56,10,1062,20973,-7533,20238
148463541,107,7,1067,20973,-7533,20238
148470522,107,7,1067,20973,-7533,20238
148471570,107,7,1067,11532,-8758,19311
148472103,139,-17,1076,11532,-8758,19311
148480123,139,-17,1076,3001,-9546,19468
148480656,176,-63,1044,3001,-9546,19468
148488676,176,-63,1044,-980,-10771,21166
148489209,190,-127,1016,-980,-10771,21166
148497230,192,-187,981,2135,-11235,26022
148505774,189,-209,943,9248,-12958,32786
148514318,176,-205,917,16966,-17167,40241
148522863,158,-178,940,24596,-21831,47530
148531406,153,-136,982,31955,-24080,53541
148539950,163,-71,1006,38185,-23948,57417
148548286,163,-71,1006,42971,-24386,58712
148548819,163,-5,1001,42971,-24386,58712
148556838,163,-5,1001,44397,-26827,57592
148557371,155,58,1017,44397,-26827,57592
148565392,155,58,1017,41580,-30065,54608
148565925,157,112,1025,41580,-30065,54608
148571452,157,112,1025,41580,-30065,54608
148573955,157,112,1025,39270,-33503,49087
148574488,165,132,1015,39270,-33503,49087
148582506,153,144,996,41746,-38018,43452
148591050,130,164,1023,45237,-42980,38298
148599593,116,176,1074,46051,-45657,32987
148608137,86,198,1115,47320,-45027,27947
148616681,68,244,1142,47713,-42262,24788
148625224,41,280,1179,42472,-39103,20081
148633560,41,280,1179,31596,-34615,11725
148634094,10,278,1225,31596,-34615,11725
148642115,10,278,1225,16905,-27597,1890
148642648,-8,241,1258,16905,-27597,1890
148650667,-8,241,1258,1986,-18593,-7463
148651200,-26,195,1257,1986,-18593,-7463
148659219,-26,195,1257,-12031,-8295,-14857
148659752,-18,142,1247,-12031,-8295,-14857
148667772,-18,142,1247,-25926,2616,-19075
148668305,-1,92,1210,-25926,2616,-19075
148672375,-1,92,1210,-25926,2616,-19075
148676333,19,57,1161,-37476,13081,-20930
148684876,38,32,1085,-45272,22723,-21026
148693420,58,10,997,-49245,29373,-19145
148701965,67,-6,913,-50662,32068,-15408
148710509,68,-17,840,-48221,31552,-10298
148719053,74,0,768,-40608,28472,-5722
148727388,74,0,768,-30415,21096,-3053
148727921,62,15,729,-30415,21096,-3053
148735941,62,15,729,-20265,10946,-1898
148736474,47,34,723,-20265,10946,-1898
